MAG,Time,Lat,Lon,Depth,clID
5.8,1990-05-05T07:21:29.609970Z,40.649500,15.881800,0.0,0
5.6,1990-12-13T00:24:28.000024Z,37.313200,15.312500,13.6,0
5.1,1991-05-26T12:25:59.000043Z,40.689000,15.821700,0.1,0
5.2,1995-09-30T10:14:33.859992Z,41.790300,15.971200,27.6,0
5.4,1996-10-15T09:55:59.000016Z,44.798800,10.678700,1.3,0
5.7,1997-09-26T00:33:12.880027Z,43.022800,12.891000,3.5,0
6.0,1997-09-26T09:40:26.599984Z,43.014700,12.853800,9.9,0
5.2,1997-10-03T08:55:22.070035Z,43.042700,12.824500,12.1,0
5.5,1997-10-06T23:24:53.289962Z,43.027500,12.846700,3.9,0
5.2,1997-10-12T11:08:36.570024Z,42.906200,12.920300,0.1,0
5.6,1997-10-14T15:23:10.639973Z,42.898200,12.898700,7.3,0
5.0,1998-03-21T16:45:09.210005Z,42.948500,12.914300,1.1,0
5.3,1998-03-26T16:26:17.030026Z,43.145800,12.809000,44.8,0
5.1,1998-04-03T07:26:36.970021Z,43.185300,12.756800,1.9,0
5.6,1998-04-12T10:55:32.859982Z,46.282700,13.570700,14.6,0
5.5,1998-09-09T11:28:00.340004Z,40.060000,15.949000,29.2,0
5.0,2001-09-23T21:16:56.969992Z,39.767500,18.001800,23.5,0
5.7,2002-10-31T10:32:58.999975Z,41.716700,14.893200,25.2,0
5.7,2002-11-01T15:09:01.919983Z,41.741500,14.843200,21.4,0
5.2,2003-09-14T21:42:53.199964Z,44.255000,11.380000,8.3,0
5.1,2004-07-12T13:04:06.299988Z,46.357000,13.637000,5.0,0
5.0,2004-11-24T22:59:38.599989Z,45.685000,10.521000,5.4,0
5.4,2008-12-23T15:24:21.769973Z,44.544000,10.345000,22.9,0
6.3,2009-04-06T01:32:40.399955Z,42.342000,13.380000,8.3,0
5.1,2009-04-06T02:37:04.250039Z,42.360000,13.328000,8.7,0
5.1,2009-04-06T23:15:36.760000Z,42.463000,13.385000,9.7,0
5.1,2009-04-07T09:26:28.610011Z,42.336000,13.387000,9.6,0
5.5,2009-04-07T17:47:37.339987Z,42.303000,13.486000,17.1,0
5.4,2009-04-09T00:52:58.999956Z,42.489000,13.351000,11.0,0
5.2,2009-04-09T19:38:16.960008Z,42.504000,13.350000,9.3,0
5.0,2009-04-13T21:14:24.470014Z,42.498000,13.377000,9.0,0
5.0,2012-01-25T08:06:37.089964Z,44.871000,10.510000,29.0,0
6.1,2012-05-20T02:03:50.170008Z,44.895500,11.263500,9.5,0
5.2,2012-05-20T02:07:28.950012Z,44.873700,11.270300,6.1,0
5.0,2012-05-20T03:02:47.090001Z,44.859700,11.152000,9.1,0
5.2,2012-05-20T13:18:01.770019Z,44.813500,11.440700,3.4,0
5.9,2012-05-29T07:00:02.879995Z,44.841700,11.065700,8.1,0
5.5,2012-05-29T10:55:56.549996Z,44.865200,10.979500,4.4,0
5.2,2012-05-29T11:00:01.680018Z,44.855800,10.941000,8.7,0
5.3,2012-10-25T23:05:24.729966Z,39.874700,16.015800,9.7,0
5.0,2013-01-25T14:48:18.270000Z,44.164300,10.445800,19.8,0
5.3,2013-06-21T10:33:56.979996Z,44.130800,10.135700,7.0,0
5.1,2013-07-21T01:32:24.239964Z,43.508800,13.722500,7.9,0
5.1,2013-12-29T17:08:43.229986Z,41.395200,14.434200,20.4,0
6.2,2016-08-24T01:36:31.999996Z,42.698300,13.233500,8.1,0
5.5,2016-08-24T02:33:28.890002Z,42.792200,13.150700,8.0,0
5.5,2016-10-26T17:10:36.979992Z,42.874700,13.124300,8.1,0
6.1,2016-10-26T19:18:07.419978Z,42.904800,13.090200,9.6,0
6.6,2016-10-30T06:40:17.320020Z,42.830300,13.109200,10.0,0
5.0,2016-11-01T07:56:40.340022Z,42.990200,13.134500,8.3,0
5.3,2017-01-18T09:25:40.390005Z,42.545000,13.276800,10.0,0
5.7,2017-01-18T10:14:09.899983Z,42.531000,13.283800,9.6,0
5.6,2017-01-18T10:25:23.730034Z,42.503300,13.277000,9.4,0
5.2,2017-01-18T13:33:36.740013Z,42.473300,13.274700,9.5,0
5.3,2018-08-16T18:19:04.599987Z,41.874200,14.864800,19.6,0
5.0,2018-12-26T02:19:14.000020Z,37.644000,15.116000,-0.2,0
