,Unnamed: 0.1,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle,rates_bg,rates_fs,rates_as,time_fs,time_as
0,0,0,1,9.1,38.297,142.373,29.0,2011-03-11T05:46:24.119965Z,41,568,41,622,1.1999999999999993,0.9882983402285552,19.3896799227266,1.7999999999999998,1.1377682912481355,1.4028570500475637,1,1,3,1,3,1,7.3,-434559.130065,7.3,-434559.130065,7.9,3510.870044,1245.1834350622375,1340.8702697054239,1471.5846019280557,1.0,3.0,0.4406192871482251,1.3775983507323477,10.435573985610725,29.76194039300636,59.60381296301053
1,1,1,2,9.1,3.295,95.982,30.0,2004-12-26T00:58:53.449996Z,3,310,3,479,1.9,1.050166063884617,10.439121058213376,3.6999999999999993,-999.0,0.2181510089445137,1,1,1,0,1,0,5.4,2427378.129963,5.4,2427378.129963,7.2,13278.009974,703.9764951088036,1314.6510293462154,1471.5846019280557,1.0,3.0,0.3416608053464787,0.10678187992241626,8.1635049263366,28.094654281978254,58.67577766195492
2,2,2,3,8.8,-36.122,-72.898,22.9,2010-02-27T06:34:11.529981Z,2,310,2,326,1.4000000000000004,1.280982772502456,10.465157332222448,3.500000000000001,-999.0,0.1000968494925395,1,1,3,0,3,0,5.3,2421842.230016,5.3,2421842.230016,7.4,5942.970008,1359.915647131394,1303.007695522244,1388.4626834569187,1.0,3.0,0.24340044670844282,0.07135064285292393,5.681353454016719,28.030581365925848,57.38069328700503
3,3,3,4,8.6,2.085,97.108,30.0,2005-03-28T16:09:36.530032Z,11,140,11,166,1.9,1.208771917822173,4.7497580955197805,2.8,-999.0,0.4970095545982851,1,1,1,0,3,0,5.8,-27308.259996,5.8,-27308.259996,6.9,3932035.819948,987.6317502417086,1000.9112560620206,1019.3093880125635,1.0,3.0,0.22178617654372382,0.4270078032415075,2.825570708079479,25.760653356909753,58.749193402004465
4,4,4,5,8.6,2.327,93.063,20.0,2012-04-11T08:38:36.719976Z,2,75,2,79,0.4000000000000003,1.1822898781395226,3.2173560550046254,3.3999999999999995,-999.0,0.123599684596021,2,2,1,0,1,0,5.2,988584.759932,5.2,988584.759932,8.2,10524.610023,917.1437541683518,974.4730273328084,1019.3093880125635,-1.0,1.0,0.10949658841861556,0.0724028439952603,1.4337799118576473,27.62322430498622,55.099112037108455
5,5,5,6,8.4,-4.438,101.367,34.0,2007-09-12T11:10:26.829987Z,6,90,6,106,0.5,1.1010282639800764,3.045945967941502,3.2,-999.0,0.2592764048690578,1,1,5,0,6,0,5.2,-154369.700027,5.2,-154369.700027,7.9,47123.460031,729.3422649478887,650.0954666418021,748.3036028766184,1.0,3.0,0.12103230767120912,0.25088716367781444,1.780842069906029,23.915133449015794,59.52240335696549
6,6,6,7,8.4,-16.265,-73.641,33.0,2001-06-23T20:33:14.130024Z,0,62,0,71,0.8000000000000007,1.0727592780080335,4.421401454998629,-999.0,-999.0,-999.0,1,1,3,0,4,0,0.0,0.0,0.0,0.0,7.6,1171511.309954,0.0,583.8565860732807,748.3036028766184,1.0,3.0,0.060846480611519635,,1.4444089124076265,0.0,49.15505532408616
7,7,7,8,8.3,43.773,147.321,14.0,1994-10-04T13:22:55.840019Z,3,144,3,160,1.0000000000000009,1.2894516576096555,4.816064883725273,3.1000000000000005,-999.0,0.1954358431874701,1,1,1,0,1,0,5.2,1077997.129974,5.2,1077997.129974,7.3,415559.28995,395.90134442107455,445.5620119904788,641.1560464814495,1.0,3.0,0.08539557113038956,0.1078084795830888,2.7026728114614924,27.827124652916357,59.20065474498879
8,8,8,9,8.3,-11.164,118.378,25.0,1977-08-19T06:08:55.509960Z,1,94,1,144,2.200000000000001,1.0915422807194033,3.273963980460283,2.200000000000001,-999.0,inf,1,1,0,0,0,0,6.1,-300923.690033,6.1,-300923.690033,6.3,4264181.090011,2.378492064552155,534.710884928263,641.1560464814495,-1.0,2.0,0.04245761120615364,23.907623664887588,2.434240956435438,0.04182766192144266,59.15601724607629
9,9,9,10,8.3,-31.5729,-71.6744,22.44,2015-09-16T22:54:32.860026Z,3,90,3,101,1.3000000000000007,0.8515578076534353,3.5729756169710045,2.6000000000000005,-999.0,0.1548179276377686,1,1,6,0,9,0,5.7,2072668.440046,5.7,2072668.440046,7.0,2219.94,588.4275294814745,242.12336364794984,641.1560464814495,1.0,3.0,0.13967140441313008,0.12505618119714237,1.8305099567414505,23.989218056088795,55.1758812499405
10,10,10,11,8.3,46.592,153.266,10.0,2006-11-15T11:14:13.570027Z,9,93,9,123,1.6000000000000003,1.1827053240703491,3.209720544658068,2.4000000000000004,-999.0,0.3073799227530867,2,1,3,0,4,0,5.9,-228083.129934,5.9,-228083.129934,8.1,5091826.149955,287.8264656420095,597.17341332848,641.1560464814495,1.0,3.0,0.08609221665615618,0.3073751586024137,2.06555170374836,29.28018009302241,59.54825520793873
11,11,11,12,8.2,41.815,143.91,27.0,2003-09-25T19:50:06.360003Z,2,46,2,60,0.7999999999999989,0.8088075371477569,2.079869304882987,2.7,-999.0,0.1143635866610936,1,1,3,0,4,0,5.5,2281406.390007,5.5,2281406.390007,7.4,9014.179994,425.62430046873527,506.0061106380138,549.3506570855053,1.0,3.0,0.1479312337630719,0.07574275269715026,1.0052577423203908,26.405166551007166,59.686185416990405
12,12,12,13,8.2,0.802,92.463,25.1,2012-04-11T10:43:10.849955Z,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.3506570855053,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,13,13,14,8.2,15.0222,-93.8993,47.39,2017-09-08T04:49:19.179983Z,3,39,3,43,2.1,1.3389316042867028,1.858884772744252,2.8999999999999995,-999.0,0.2922950648787225,1,1,0,0,0,0,5.3,1522187.329998,5.3,1522187.329998,6.1,332590.480009,291.05845261899714,225.20807294694808,549.3506570855053,-1.0,2.0,0.08129606224879175,0.16463183643935878,0.7470759072541575,18.222477892998743,57.55773888900324
14,14,14,15,8.2,-19.6097,-70.7691,25.0,2014-04-01T23:46:47.260043Z,25,58,25,64,0.4999999999999991,0.9294863450327906,2.585017795667526,1.4999999999999991,-999.0,3.0772601291267465,1,1,6,4,6,4,6.7,1391417.660019,6.7,1391417.660019,7.7,-901908.860031,64.90010597159763,206.3757204836786,549.3506570855053,1.0,3.0,0.04779451473888923,1.5523735698241947,1.0910942678389788,16.104371065033806,58.65670995298911
15,15,15,16,8.1,-15.489,-172.095,18.0,2009-09-29T17:48:10.990025Z,0,94,0,101,1.7999999999999998,1.329761605827545,3.142303008154068,-999.0,-999.0,-999.0,1,1,2,0,2,0,0.0,0.0,0.0,0.0,6.3,1497548.180018,0.0,436.7426521461513,470.69063154972355,-1.0,2.0,0.12285252075687149,,1.781966502664242,0.0,56.67895543995555
16,16,16,17,8.1,-49.312,161.345,10.0,2004-12-23T14:59:04.409978Z,0,6,0,6,2.0,-999.0,0.5399006807486675,-999.0,-999.0,-999.0,1,1,1,0,1,0,0.0,0.0,0.0,0.0,6.1,-0.0,0.0,154.3893289703474,470.69063154972355,1.0,1.0,0.0028678564113579987,,0.539312107372078,0.0,11.125283334053776
17,17,17,18,8.1,46.243,154.524,10.0,2007-01-13T04:23:21.159979Z,0,6,0,9,2.7,-999.0,0.243442113708634,-999.0,-999.0,-999.0,4,4,0,0,0,0,0.0,0.0,0.0,0.0,5.4,889888.300005,0.0,399.7390931319029,470.69063154972355,-1.0,2.0,0.04177940190168698,0.0,0.18166914455912742,1.4727378479391335,49.540608680913294
18,18,18,19,8.1,-0.891,136.952,33.0,1996-02-17T05:59:30.550039Z,1,36,1,37,1.5999999999999996,0.8833108106506824,1.7663554468132436,3.0,-999.0,inf,1,1,4,0,4,0,5.1,932596.960063,5.1,932596.960063,6.5,57494.399966,306.340983588769,414.449939492027,470.69063154972355,1.0,3.0,0.04771978779173598,0.09264452244640085,0.6347980025773146,10.793946297025238,58.28625775408552
19,19,19,20,8.1,-62.877,149.527,10.0,1998-03-25T03:12:25.069968Z,0,7,0,7,1.6999999999999993,-999.0,0.2883032400899829,-999.0,-999.0,-999.0,1,1,1,0,1,0,0.0,0.0,0.0,0.0,6.4,32697.43001,0.0,190.49725771668702,470.69063154972355,-1.0,1.0,0.0021958183981484396,,0.28823103776015724,0.0,24.286072917049406
20,20,20,21,8.1,-8.466,157.043,24.0,2007-04-01T20:39:58.710036Z,1,93,1,103,1.1999999999999993,0.951457875547761,3.184093090110544,2.8,-999.0,inf,1,1,8,0,8,0,5.3,554474.880057,5.3,554474.880057,6.9,2123.989948,21.204719516602896,308.7824922777004,470.69063154972355,1.0,3.0,0.07374919730039811,0.15582310958992956,1.97373140314001,6.4175333339941725,52.185418865068094
