,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,16.3,40.7968,29.9952,7.5,802,802,3,3,67,67,0,0,1999-08-17T00:01:40.630001Z
1,1,1,7.6,38.7294,43.4465,7.2,2604,2604,12,12,24,24,0,0,2011-10-23T10:41:22.009980Z
2,1,1,14.9,40.8243,31.2073,7.1,487,487,2,2,40,40,1,1,1999-11-12T16:57:22.540035Z
3,1,1,8.2,40.2763,25.3698,6.8,138,138,2,2,2,2,0,0,2014-05-24T09:25:03.189966Z
4,1,1,10.2,36.9674,27.4232,6.6,533,533,12,12,1,1,0,0,2017-07-20T22:31:11.640036Z
5,1,1,10.0,38.9987,40.4637,6.4,547,547,3,3,2,2,0,0,2003-05-01T00:27:04.729972Z
6,1,1,64.9,35.9232,27.804000000000002,6.4,41,41,1,1,3,3,0,0,2008-07-15T03:26:36.550000Z
7,1,1,22.1,38.52,31.201999999999998,6.3,265,265,6,6,1,1,0,0,2002-02-03T07:11:31.470034Z
8,1,1,9.7,38.8846,26.344,6.3,190,190,7,7,0,0,0,0,2017-06-12T12:28:38.659980Z
9,1,1,37.9,36.9312,35.2796,6.2,20,20,5,5,0,0,0,0,1998-06-27T13:55:55.919965Z
10,1,1,18.7,38.0378,30.1132,6.2,332,332,9,9,32,32,3,3,1995-10-01T15:57:16.530012Z
11,1,1,28.0,36.1028,27.0639,6.2,153,153,29,29,1,1,0,0,1996-07-20T00:00:43.849983Z
12,1,1,10.0,39.4794,39.8481,6.1,128,128,2,2,0,0,0,0,2003-01-27T05:26:23.110014Z
13,2,2,23.7,39.5211,40.1322,6.1,5,5,0,0,2,2,1,1,1995-12-05T18:52:41.020030Z
14,1,1,22.6,35.1952,26.8373,6.0,132,132,25,25,1,1,0,0,2015-04-16T18:07:43.609958Z
15,1,1,10.0,38.402,31.325,6.0,90,90,0,0,0,0,0,0,2000-12-15T16:44:46.640001Z
16,2,2,16.8,42.5066,43.5153,6.0,82,82,51,51,6,6,6,6,2009-09-07T22:49:29.880015Z
