,MAG,Time,Lat,Lon,Depth,clID,eType
0,7.5,1999-08-17T00:01:40.629991Z,40.7968,29.9952,16.3,1019,2.0
1,7.2,2011-10-23T10:41:22.009980Z,38.7294,43.4465,7.6,1009,1.0
2,7.1,1999-11-12T16:57:22.540035Z,40.8243,31.2073,14.9,1019,1.0
3,6.8,2014-05-24T09:25:03.189966Z,40.2763,25.3698,8.2,730,1.0
4,6.6,2017-07-20T22:31:11.640026Z,36.9674,27.4232,10.2,741,1.0
5,6.4,2008-07-15T03:26:36.550000Z,35.9232,27.804,64.9,894,1.0
6,6.4,2003-05-01T00:27:04.729972Z,38.9987,40.4637,10.0,1018,1.0
7,6.3,2002-02-03T07:11:31.470024Z,38.52,31.202,22.1,1019,1.0
8,6.3,2017-06-12T12:28:38.659990Z,38.8846,26.344,9.7,720,1.0
9,6.2,1998-06-27T13:55:55.919975Z,36.9312,35.2796,37.9,742,1.0
10,6.2,1995-10-01T15:57:16.530022Z,38.0378,30.1132,18.7,738,1.0
11,6.2,1996-07-20T00:00:43.849983Z,36.1028,27.0639,28.0,266,1.0
12,6.1,1995-12-05T18:52:41.020030Z,39.5211,40.1322,23.7,320,1.0
13,6.1,2003-01-27T05:26:23.110024Z,39.4794,39.8481,10.0,1015,1.0
14,6.0,2010-03-08T02:32:35.039993Z,38.7884,40.044,12.2,996,1.0
15,6.0,2012-06-10T12:44:16.359963Z,36.3847,28.9676,32.0,941,1.0
16,6.0,2009-09-07T22:49:29.880015Z,42.5066,43.5153,16.8,795,1.0
17,6.0,2000-06-06T02:41:50.060026Z,40.7,32.982,10.0,1019,1.0
18,6.0,1997-11-14T21:38:52.620027Z,38.8442,25.7875,13.8,625,1.0
19,6.0,2000-12-15T16:44:46.640001Z,38.402,31.325,10.0,955,1.0
20,6.0,2015-04-16T18:07:43.609958Z,35.1952,26.8373,22.6,697,1.0
21,5.9,1999-09-13T11:55:30.390006Z,40.7873,30.0853,15.7,1019,1.0
22,5.9,2009-09-07T22:41:37.159958Z,42.5829,43.4523,14.6,795,-1.0
23,5.9,1995-02-23T21:03:04.359974Z,35.0286,32.3821,17.1,657,1.0
24,5.9,1996-08-14T03:01:05.620022Z,40.3354,35.184,11.0,212,1.0
25,5.9,2011-10-23T20:45:37.020040Z,38.5893,43.1165,10.1,1009,1.0
26,5.9,2005-01-25T16:44:12.179958Z,37.5735,43.6831,22.0,987,1.0
