,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
0,1,1,29.0,38.297,142.373,9.1,622,622,3,3,58,58,1,1,2011-03-11T05:46:24.119965Z
1,1,1,30.0,3.295,95.98200000000001,9.1,479,479,1,1,6,6,0,0,2004-12-26T00:58:53.449996Z
2,1,1,22.9,-36.122,-72.898,8.8,326,326,3,3,7,7,0,0,2010-02-27T06:34:11.529981Z
3,1,1,30.0,2.085,97.10799999999999,8.6,166,166,3,3,16,16,1,1,2005-03-28T16:09:36.530032Z
4,2,2,20.0,2.327,93.06299999999999,8.6,79,79,1,1,7,7,0,0,2012-04-11T08:38:36.719986Z
5,1,1,33.0,-16.265,-73.641,8.4,71,71,4,4,0,0,0,0,2001-06-23T20:33:14.130034Z
6,1,1,34.0,-4.438,101.367,8.4,106,106,6,6,9,9,0,0,2007-09-12T11:10:26.829987Z
7,1,1,22.44,-31.5729,-71.6744,8.3,101,101,9,9,6,6,0,0,2015-09-16T22:54:32.860016Z
8,2,2,10.0,46.592,153.266,8.3,123,123,4,4,28,28,2,2,2006-11-15T11:14:13.570017Z
9,1,1,14.0,43.773,147.321,8.3,160,160,1,1,26,26,2,2,1994-10-04T13:22:55.840019Z
10,-1,-1,25.1,0.802,92.463,8.2,0,0,0,0,0,0,0,0,2012-04-11T10:43:10.849955Z
11,1,1,25.0,-19.6097,-70.7691,8.2,64,64,6,6,27,27,4,4,2014-04-01T23:46:47.260043Z
12,1,1,47.39,15.0222,-93.8993,8.2,43,43,0,0,3,3,0,0,2017-09-08T04:49:19.179983Z
13,1,1,27.0,41.815,143.91,8.16,60,60,4,4,3,3,0,0,2003-09-25T19:50:06.360003Z
14,1,1,24.0,-8.466000000000001,157.043,8.1,103,103,8,8,11,11,0,0,2007-04-01T20:39:58.710036Z
15,1,1,18.0,-15.489,-172.095,8.1,101,101,2,2,5,5,1,1,2009-09-29T17:48:10.990015Z
16,1,1,10.0,-62.876999999999995,149.52700000000002,8.1,7,7,1,1,0,0,0,0,1998-03-25T03:12:25.069968Z
17,1,1,10.0,-49.312,161.345,8.1,6,6,1,1,1,1,1,1,2004-12-23T14:59:04.409988Z
18,4,4,10.0,46.243,154.524,8.1,9,9,0,0,0,0,0,0,2007-01-13T04:23:21.159969Z
19,1,1,33.0,-0.8909999999999999,136.952,8.09,37,37,4,4,1,1,0,0,1996-02-17T05:59:30.550049Z
20,1,1,10.0,-52.341,160.56799999999998,8.02,24,24,1,1,1,1,0,0,1989-05-23T10:54:46.320021Z
21,1,1,24.0,-10.799000000000001,165.114,8.0,188,188,11,11,23,23,7,7,2013-02-06T01:12:25.829968Z
22,1,1,55.0,-20.187,-174.123,8.0,46,46,2,2,11,11,1,1,2006-05-03T15:26:40.290002Z
23,1,1,33.0,19.055,-104.205,8.0,5,5,1,1,1,1,0,0,1995-10-09T15:35:53.910013Z
24,3,3,33.0,-3.98,152.16899999999998,8.0,182,182,16,16,5,5,2,2,2000-11-16T04:54:56.740031Z
25,1,1,39.0,-13.386,-76.60300000000001,8.0,37,37,3,3,6,6,0,0,2007-08-15T23:40:57.889981Z
26,1,1,45.6,-23.34,-70.294,8.0,26,26,4,4,1,1,0,0,1995-07-30T05:11:23.630031Z
27,1,1,33.0,51.52,-174.77599999999998,8.0,94,94,4,4,3,3,1,1,1986-05-07T22:47:10.870017Z
28,1,1,33.0,-33.135,-71.87100000000001,8.0,64,64,13,13,11,11,1,1,1985-03-03T22:47:07.280014Z
29,2,2,27.9,18.19,-102.53299999999999,8.0,5,5,1,1,0,0,0,0,1985-09-19T13:17:47.350031Z
30,1,1,33.0,51.56399999999999,-177.632,7.9,38,38,3,3,4,4,1,1,1996-06-10T04:03:35.479989Z
31,1,1,19.0,31.002,103.322,7.9,50,50,2,2,0,0,0,0,2008-05-12T06:28:01.570018Z
32,1,1,14.06,56.0039,-149.1658,7.9,12,12,0,0,0,0,0,0,2018-01-23T09:31:40.890031Z
33,-1,-1,35.0,-2.625,100.84100000000001,7.9,0,0,0,0,0,0,0,0,2007-09-12T23:49:03.720035Z
34,1,1,24.0,0.7290000000000001,119.931,7.9,10,10,1,1,1,1,1,1,1996-01-01T08:05:10.830021Z
35,1,1,10.0,-13.802,97.45299999999999,7.9,3,3,0,0,0,0,0,0,2000-06-18T14:44:13.310013Z
36,1,1,10.0,58.678999999999995,-142.786,7.9,7,7,1,1,7,7,1,1,1987-11-30T19:23:19.590001Z
37,1,1,33.0,-4.721,102.087,7.9,56,56,5,5,0,0,0,0,2000-06-04T16:28:26.170032Z
38,-1,-1,42.6,36.281,141.111,7.9,0,0,0,0,0,0,0,0,2011-03-11T06:15:40.279963Z
39,1,1,33.0,44.663000000000004,149.3,7.9,70,70,9,9,24,24,4,4,1995-12-03T18:01:08.989970Z
40,1,1,4.2,63.5141,-147.4529,7.9,19,19,0,0,1,1,1,1,2002-11-03T22:12:41.517964Z
41,1,1,33.0,51.146,178.65,7.8,23,23,2,2,1,1,0,0,2003-11-17T06:43:06.800021Z
42,1,1,27.7,-8.48,121.896,7.8,32,32,2,2,2,2,1,1,1992-12-12T05:29:26.349998Z
43,3,3,35.0,-12.517000000000001,166.382,7.8,92,92,12,12,7,7,4,4,2009-10-07T22:18:51.239988Z
44,1,1,28.0,55.0715,-158.596,7.8,21,21,2,2,2,2,0,0,2020-07-22T06:12:44.810034Z
45,1,1,15.11,-42.7373,173.054,7.8,40,40,5,5,0,0,0,0,2016-11-13T11:02:56.340035Z
46,1,1,25.7,1.186,122.85700000000001,7.8,40,40,6,6,1,1,0,0,1990-04-18T13:39:19.009983Z
47,1,1,12.0,-45.762,166.562,7.8,22,22,1,1,0,0,0,0,2009-07-15T09:22:29.029989Z
48,-1,-1,30.0,-5.233,153.102,7.8,0,0,0,0,0,0,0,0,2000-11-16T07:42:16.929970Z
49,1,1,14.0,52.788000000000004,-132.101,7.8,26,26,2,2,0,0,0,0,2012-10-28T03:04:08.819984Z
50,1,1,31.0,2.383,97.04799999999999,7.8,6,6,1,1,3,3,1,1,2010-04-06T22:15:01.579969Z
51,1,1,20.59,0.3819,-79.9218,7.8,13,13,7,7,1,1,0,0,2016-04-16T23:58:36.979971Z
52,1,1,8.22,28.2305,84.7314,7.8,31,31,5,5,1,1,0,0,2015-04-25T06:11:25.949981Z
53,-1,-1,33.0,-5.496,151.781,7.8,0,0,0,0,0,0,0,0,2000-11-17T21:01:56.490014Z
